ID,name,sort.name,Gender
5848,Norman Angell,"Angell, Norman",Male
7067,Lord Alfred Douglas,"Douglas, Alfred",Male
6631,A. C. Bradley,"Bradley, A. C.",Male
6946,Nikolai Evreinov / Николай Николаевич Евреинов,"Evreinov, Nikolai",Male
6431,W. P. Ker,"Ker, W. P.",Male
7804,Sidney Colvin,"Colvin, Sidney",Male
6512,Adolphus Ward,"Ward, Adolphus",Male
7523,David George Hogarth,"Hogarth, D. G.",Male
7638,Ben Ames Williams,"Williams, Ben Ames",Male
7692,Harold Lamb,"Lamb, Harold",Male
7272,John Albert Macy,"Macy, John Albert",Male
